code,vulnerable
"{
    wchar_t * data;
    wchar_t dataBuffer[100] = L"""";
    data = dataBuffer;
    if(1)
    {
        {
            /* Append input from an environment variable to data */
            size_t dataLen = wcslen(data);
            wchar_t * environment = GETENV(ENV_VARIABLE);
            /* If there is data in the environment variable */
            if (environment != NULL)
            {
                
                wcsncat(data+dataLen, environment, 100-dataLen-1);
            }
        }
    }
    if(1)
    {
        {
            wchar_t dest[100] = L"""";
            
            SNPRINTF(dest, 100-1, data);
            printWLine(dest);
        }
    }
}",1
"{
    char * data;
     myUnion;
    char dataBuffer[100] = COMMAND_ARG2;
    data = dataBuffer;
    {
        /* Read input from a file */
        size_t dataLen = strlen(data);
        FILE * pFile;
        /* if there is room in data, attempt to read the input from a file */
        if (100-dataLen > 1)
        {
            pFile = fopen(FILENAME, ""r"");
            if (pFile != NULL)
            {
                
                if (fgets(data+dataLen, (int)(100-dataLen), pFile) == NULL)
                {
                    printLine(""fgets() failed"");
                    /* Restore NUL terminator if fgets fails */
                    data[dataLen] = '\0';
                }
                fclose(pFile);
            }
        }
    }
    myUnion.unionFirst = data;
    {
        char * data = myUnion.unionSecond;
        /* execlp - searches for the location of the command among
         * the directories specified by the PATH environment variable */
        
        EXECLP(COMMAND_INT, COMMAND_INT, COMMAND_ARG1, COMMAND_ARG3, NULL);
    }
}",1
"{
    char data;
    data = ' ';
    if(globalFive==5)
    {
        
        data = (char)RAND32();
    }
    if(globalFive==5)
    {
        {
            
            ++data;
            char result = data;
            printHexCharLine(result);
        }
    }
}",1
"{
    
    data = (int *)ALLOCA(100*sizeof(int));
    /* Initialize and make use of data */
    data[0] = 5;
    printIntLine(data[0]);
    return data;
}",0
"{
    wchar_t * data = dataArray[2];
    {
        wchar_t dest[100];
        wmemset(dest, L'C', 100-1); /* fill with 'C's */
        dest[100-1] = L'\0'; /* null terminate */
        
        wcsncpy(dest, data, wcslen(dest));
        /* Ensure null termination */
        dest[100-1] = L'\0';
        printWLine(dest);
    }
}",0
"{
    char * data;
    char dataBuffer[256] = """";
    data = dataBuffer;
    {
        /* Read input from the console */
        size_t dataLen = strlen(data);
        /* if there is room in data, read into it from the console */
        if (256-dataLen > 1)
        {
            
            if (fgets(data+dataLen, (int)(256-dataLen), stdin) != NULL)
            {
                /* The next few lines remove the carriage return from the string that is
                 * inserted by fgets() */
                dataLen = strlen(data);
                if (dataLen > 0 && data[dataLen-1] == '\n')
                {
                    data[dataLen-1] = '\0';
                }
            }
            else
            {
                printLine(""fgets() failed"");
                /* Restore NUL terminator if fgets fails */
                data[dataLen] = '\0';
            }
        }
    }
    (&data);
}",1
"{
    twoIntsStruct * data;
    twoIntsStruct * dataBuffer = (twoIntsStruct *)ALLOCA(50*sizeof(twoIntsStruct));
    if(5==5)
    {
        
        data = dataBuffer;
    }
    {
        twoIntsStruct source[100];
        {
            size_t i;
            /* Initialize array */
            for (i = 0; i < 100; i++)
            {
                source[i].intOne = 0;
                source[i].intTwo = 0;
            }
        }
        
        memcpy(data, source, 100*sizeof(twoIntsStruct));
        printStructLine(&data[0]);
    }
}",1
"{
    if(globalReturnsTrue())
    {
        
        assert(0); 
    }
}",1
"{
    char * data = dataArray[2];
    {
        HANDLE pHandle;
        char * username = ""User"";
        char * domain = ""Domain"";
        
        if (LogonUserA(
                    username,
                    domain,
                    data,
                    LOGON32_LOGON_NETWORK,
                    LOGON32_PROVIDER_DEFAULT,
                    &pHandle) != 0)
        {
            printLine(""User logged in successfully."");
            CloseHandle(pHandle);
        }
        else
        {
            printLine(""Unable to login."");
        }
    }
}",0
"{
    int * data = dataArray[2];
    
    if (data != NULL)
    {
        data[0] = 5;
        printIntLine(data[0]);
        free(data);
    }
}",0
