GraphVizId,NodeID,Function,InDegree,OutDegree,DirectCalls,IndirectCalls,BBs,NumLoops,CondBranches,UnCondBranches,Instructions,MemOps,StaticAllocations,DynamicAllocations,BasicMathOps,LogicOps,BitShiftOps,RegisterOps,PortOps,ApiFilesystemCalls,ApiRegistryCalls,ApiNetworkCalls,ApiDLLCalls,ApiObjectCalls,ApiProcessCalls,ApiServiceCalls,ApiSynchronizationCalls,ApiSystemInformationCalls,ApiTimeCalls,code,category,vulnerable,coarse_category,MallocCallCount,FreeCallCount,GepCount,StringFuncCount,IndirectCallInstCount,CmpCount,SelectCount,PhiCount,ReturnCount,SwitchCount,MaxBBsize
n1,1,CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_66b_goodG2BSink,0,3,3,0,1,0,0,0,21,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    char * data = dataArray[2];
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",Stack_Based_Buffer_Overflow,0,BufferOverflowWrite,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0
n1,1,CWE195_Signed_to_Unsigned_Conversion_Error__fgets_memcpy_22_goodG2B1Source,0,1,1,0,4,0,1,2,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    {
        
        printLine(""Benign, fixed string"");
    }
    else
    {
        
        data = 100-1;
    }
    return data;
}",Signed_to_Unsigned_Conversion_Error,0,IntegerArithmetic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
n2,2,CWE190_Integer_Overflow__char_max_add_66b_goodB2GSink,0,2,2,0,4,0,1,2,23,9,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"{
    char data = dataArray[2];
    
    if (data < CHAR_MAX)
    {
        char result = data + 1;
        printHexCharLine(result);
    }
    else
    {
        printLine(""data value is too large to perform arithmetic safely."");
    }
}",Integer_Overflow,0,IntegerOverflow,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0
n0,0,CWE134_Uncontrolled_Format_String__char_console_snprintf_09_bad,0,8,8,0,13,0,6,6,69,34,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"{
    char * data;
    char dataBuffer[100] = """";
    data = dataBuffer;
    if(GLOBAL_CONST_TRUE)
    {
        {
            /* Read input from the console */
            size_t dataLen = strlen(data);
            /* if there is room in data, read into it from the console */
            if (100-dataLen > 1)
            {
                
                if (fgets(data+dataLen, (int)(100-dataLen), stdin) != NULL)
                {
                    /* The next few lines remove the carriage return from the string that is
                     * inserted by fgets() */
                    dataLen = strlen(data);
                    if (dataLen > 0 && data[dataLen-1] == '\n')
                    {
                        data[dataLen-1] = '\0';
                    }
                }
                else
                {
                    printLine(""fgets() failed"");
                    /* Restore NUL terminator if fgets fails */
                    data[dataLen] = '\0';
                }
            }
        }
    }
    if(GLOBAL_CONST_TRUE)
    {
        {
            char dest[100] = """";
            
            SNPRINTF(dest, 100-1, data);
            printLine(dest);
        }
    }
}",Uncontrolled_Format_String,1,InjectionAPIInput,0.0,0.0,9.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,11.0
n0,0,CWE190_Integer_Overflow__char_rand_multiply_02_bad,0,8,8,0,6,0,2,3,41,6,2,0,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,"{
    char data;
    data = ' ';
    if(1)
    {
        
        data = (char)RAND32();
    }
    if(1)
    {
        if(data > 0) /* ensure we won't have an underflow */
        {
            
            char result = data * 2;
            printHexCharLine(result);
        }
    }
}",Integer_Overflow,1,IntegerOverflow,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,10.0
n1,1,CWE190_Integer_Overflow__int_max_multiply_68b_goodG2BSink,0,1,1,0,3,0,1,1,14,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    if(data > 0) /* ensure we won't have an underflow */
    {
        
        int result = data * 2;
        printIntLine(result);
    }
}",Integer_Overflow,0,IntegerOverflow,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0
n0,0,CWE194_Unexpected_Sign_Extension__rand_memcpy_09_bad,0,11,11,0,8,0,3,4,56,22,3,0,2,5,4,5,0,0,0,0,0,0,0,0,0,0,0,"{
    short data;
    /* Initialize data */
    data = 0;
    if(GLOBAL_CONST_TRUE)
    {
        
        data = (short)RAND32();
    }
    {
        char source[100];
        char dest[100] = """";
        memset(source, 'A', 100-1);
        source[100-1] = '\0';
        if (data < 100)
        {
            
            memcpy(dest, source, data);
            dest[data] = '\0'; /* NULL terminate */
        }
        printLine(dest);
    }
}",Unexpected_Sign_Extension,1,IntegerArithmetic,0.0,0.0,10.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,10.0
n1,1,CWE195_Signed_to_Unsigned_Conversion_Error__fgets_memcpy_61b_goodG2BSource,0,0,0,0,1,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    
    data = 100-1;
    return data;
}",Signed_to_Unsigned_Conversion_Error,0,IntegerArithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
n0,0,CWE369_Divide_by_Zero__int_rand_divide_34_bad,0,8,8,0,4,0,1,2,38,7,3,0,3,5,4,2,0,0,0,0,0,0,0,0,0,0,0,"{
    int data;
     myUnion;
    /* Initialize data */
    data = -1;
    
    data = RAND32();
    myUnion.unionFirst = data;
    {
        int data = myUnion.unionSecond;
        
        printIntLine(100 / data);
    }
}",Divide_by_Zero,1,IntegerArithmetic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,12.0
n5,5,CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_wchar_t_63b_goodG2BSink,0,5,5,0,4,0,1,2,26,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    wchar_t * password = *passwordPtr;
    {
        HANDLE pHandle;
        wchar_t * username = L""User"";
        wchar_t * domain = L""Domain"";
        /* Use the password in LogonUser() to establish that it is ""sensitive"" */
        if (LogonUserW(
                    username,
                    domain,
                    password,
                    LOGON32_LOGON_NETWORK,
                    LOGON32_PROVIDER_DEFAULT,
                    &pHandle) != 0)
        {
            printLine(""User logged in successfully."");
            CloseHandle(pHandle);
        }
        else
        {
            printLine(""Unable to login."");
        }
        
        free(password);
    }
}",Sensitive_Data_Storage_in_Improperly_Locked_Memory,0,Crypto,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0
